glyph_hash|font_name|GlyphName|unicode_hex|AGN
d5e61234b3e39d772890987a8b3bb126|GKCMME+Arial.tu.n.068.313|G58|003a|colon
0988922cf09f7321316f3b43b4715fe8|GKCMME+Arial.tu.n.068.313|G65|0041|A
0e8f825d046e08227f055fbe20818e74|GHPCIC+Arial.tu.n.0116.688|G49|0031|one
9248a2f24724da91206ef0942721977b|GPENMK+Arial.tu.n.0116.688|G50|0032|two
393b1387e3add1fe567ce94e0da948c3|GKCMME+Arial.tu.n.068.313|G67|0043|C
7ae1bc2de88862049af684d9b943902a|GKCMME+Arial.tu.n.068.313|G69|0045|E
44a3068b5eeb01f0f69d6091fc3ac6e2|GKCMME+Arial.tu.n.068.313|G108|006c|l
2462c7e9790013e0f398bf44c24704dd|GKCMME+Arial.tu.n.068.313|G77|004d|M
6ad65c2f45b200a0c0dfd2db7bed6676|GKCMME+Arial.tu.n.068.313|G79|004f|O
4c1e50d8d79d54b2db6963e8078d103e|GKCMME+Arial.tu.n.068.313|G80|0050|P
567fb29cef5c325b06283e149aa316bb|GKCMME+Arial.tu.n.068.313|G82|0052|R
de0e93a7e17436b2e538e2420fd649d5|GKCMME+Arial.tu.n.068.313|G83|0053|S
52cb5269b305d9b302d88e6cbd197f9c|GKCMME+Arial.tu.n.068.313|G84|0054|T
48e876ac361ceab90f716bba417c572d|GKCMME+Arial.tu.n.068.313|G97|0061|a
2c5ca9054ce1fce0998b584599a8c82d|GKCMME+Arial.tu.n.068.313|G99|0063|c
6b357e738522751bca2019775bd7f5cf|GKCMME+Arial.tu.n.068.313|G101|0065|e
d512f3f74de0d57177f68ec7ea695766|GKCMME+Arial.tu.n.068.313|G102|0066|f
437c3e211a1c92fbc3d0b5416455b19b|GKCMME+Arial.tu.n.068.313|G104|0068|h
82d717f0db13e48dc7c51fb7a72a18af|GKCMME+Arial.tu.n.068.313|G105|0069|i
de778c46032bf9ff5023f4997a56d629|GKCMME+Arial.tu.n.068.313|G109|006d|m
e3e0ea5f81dfe79cd56bed47e42de267|GKCMME+Arial.tu.n.068.313|G110|006e|n
79dc23d89e027d7a84b99b6c04fa451a|GKCMME+Arial.tu.n.068.313|G111|006f|o
961130cc2c3b406cd1082ed2dfd1e7d2|GKCMME+Arial.tu.n.068.313|G112|0070|p
33852bdb7df478ce1dc183fdb64ee29b|GKCMME+Arial.tu.n.068.313|G114|0072|r
5a14ec426d437ba7872b10edea55193b|GKCMME+Arial.tu.n.068.313|G115|0073|s
a47514961436e4fae12d74aa39555ffe|GKCMME+Arial.tu.n.068.313|G116|0074|t
4c8c4fc73d1184f6cbeba31b7c37ec53|GKCMME+Arial.tu.n.068.313|G117|0075|u
fb056a74ebf8aa9797eac94cf2b3b6a1|GKCMME+Arial.tu.n.068.313|G121|0079|y
4d03d93bec8f49a1151d735d2e533bc4|GKCNFC+Arial058.313|.notdef|FFFD|notdef
48ecde39bab96a7cc9ae8f89b2414035|GKCNFC+Arial058.313|G44|002c|comma
c10528416e3e5eb5c8cfdcbd8c21e57c|GKCNFC+Arial058.313|G45|002d|hyphen
89aba0f25648e2458e38a0c8bc330cc4|GKCNFC+Arial058.313|G46|002e|period
05ef6d7d6eaf2a0582770b7949d5578e|GKCNFC+Arial058.313|G47|002f|slash
a503e7e7245ab82055be6242a51bbb8b|GKCNFC+Arial058.313|G48|0030|zero
2de961154ba635a1863e503015241e17|GKCNFC+Arial058.313|G49|0031|one
fdc15a716e2938f886f8dfc884ad8a12|GKCNFC+Arial058.313|G50|0032|two
6aaca142ede8abddb2ad915bc328df8f|GKCNFC+Arial058.313|G51|0033|three
78dc01132a71198defa23d65a08444ec|GKCNFC+Arial058.313|G52|0034|four
bcacfcd574c37cddcbe352b2785cb94b|GKCNFC+Arial058.313|G53|0035|five
959adf83a3ef846f0930da4d5735c95c|GKCNFC+Arial058.313|G54|0036|six
0743373a75bacfea020418959d1d8270|GKCNFC+Arial058.313|G55|0037|seven
ffa50af9ef2d6fed13b7f34c0fabfcab|GKCNFC+Arial058.313|G56|0038|eight
ff272ee1d05d4291bb590c03ead0dacf|GKCNFC+Arial058.313|G57|0039|nine
3e1462c8fdb489a421824458743cc19f|GKCNFC+Arial058.313|G58|003a|colon
4759b9541bb50f1a2558cb1fa90971a8|GKCNFC+Arial058.313|G65|0041|A
46316f21063961eca9ada811316808bc|GKCNLC+Arial.kurz.va058.313|G40|0028|parenleft
01455f2528c9bd74ceb7efe9e97668ff|GKCNLC+Arial.kurz.va058.313|G41|0029|parenright
a65a7cd505f1b27898739611ca5e085a|GKCNLC+Arial.kurz.va058.313|G100|0064|d
81347c844b5b88a3ca938ebc391b7ed2|GKCNLC+Arial.kurz.va058.313|G101|0065|e
590af34627c5fa834abddda4014f1b21|GKCNLC+Arial.kurz.va058.313|G107|006b|k
6ed3f2fdee93169139e91fe0a04dc406|GKCNLC+Arial.kurz.va058.313|G110|006e|n
1245f8d1b9a63afd6a6f10ce60bf760a|GKCNLC+Arial.kurz.va058.313|G111|006f|o
a2e18e028887a3089d136beb019be93a|GKCNLC+Arial.kurz.va058.313|G232|010d|ccaron
af842a346760fe1809518b789fcc3a53|GKCNLC+Arial.kurz.va058.313|G237|00ed|iacute
6fe90d8df11de3b7dd1b056f764b7fbc|GKCNFC+Arial058.313|G66|0042|B
1823d6f792991672a8c06b011374aad4|GKCNFC+Arial058.313|G67|0043|C
4304db37f62a6077da5b3b20cada6ba6|GKCNFC+Arial058.313|G68|0044|D
7601b7182a5b275a065479f4fc2b2642|GKCNFC+Arial058.313|G69|0045|E
455725dec0fb19ffdbd1d1d3a9e7dc50|GKCNFC+Arial058.313|G70|0046|F
a612a18e66849b373ce08da5e7d85797|GKCNFC+Arial058.313|G72|0048|H
9e50ed76c812b96e7276edc541744443|GKCNFC+Arial058.313|G73|0049|I
a2597c495de7f5ff4f415cecd9f05ce3|GKCNFC+Arial058.313|G74|004a|J
101296f2e54575e383d871bcb07a42c8|GKCNFC+Arial058.313|G76|004c|L
0d9cfba1366c7c4680b1446e07f918c7|GKCNFC+Arial058.313|G77|004d|M
ff1d00960b82ba1903b9404bb89cb7ea|GKCNFC+Arial058.313|G78|004e|N
09a84cb8c77bb5f32fd2046da6248042|GKCNFC+Arial058.313|G80|0050|P
c8fe856839e7ec22d4ed7e1510c3fa4f|GKCNFC+Arial058.313|G82|0052|R
d694efa0514fdd0146fd14abeda19f52|GKCNFC+Arial058.313|G83|0053|S
fea1636152193ef1c2793ae064b91d87|GKCNFC+Arial058.313|G84|0054|T
8107b11aa29c896a625248c24c0ef5ec|GKCNFC+Arial058.313|G86|0056|V
79637ce2e6418849135aba044754e015|GKCNFC+Arial058.313|G87|0057|W
d79dd0478e75e79df0b9e5b24629f8b7|GKCNFC+Arial058.313|G88|0058|X
dd723c3c7079267e0b657e43fff9a230|GKCNFC+Arial058.313|G90|005a|Z
fa4e309044b9a938378538612188a4ce|GKCNFC+Arial058.313|G97|0061|a
363108c8fb046b89537b122c4d01a8b8|GKCNFC+Arial058.313|G98|0062|b
917e84e8f1ab95551f730713ebd65b7a|GKCNFC+Arial058.313|G99|0063|c
9d72f680fbaa5afd7bdd5ed479ad79ea|GKCNFC+Arial058.313|G100|0064|d
d8306d34bee4d14677720f3f30a4a424|GKCNFC+Arial058.313|G101|0065|e
